Date,Close,High,Low,Open,Volume
2020-01-02,37.31899642944336,37.32574742134688,37.021903846792476,37.23121808030939,1166500
2020-01-03,37.45404052734375,37.6228436628364,37.2852373918511,37.318997503803345,1519000
2020-01-06,38.156253814697266,38.42633982073217,37.92668148228692,38.30480137558956,3516900
2020-01-07,37.940189361572266,38.03472127497185,37.60933667973317,38.02121671591477,2463000
2020-01-08,37.71062469482422,37.87942785384444,37.54857510457462,37.77139393510077,2831400
2020-01-09,37.73088073730469,37.83891465006955,37.30549607891044,37.53506846550223,2293500
2020-01-10,37.44729232788086,37.56207981585191,37.31900285377845,37.51481513719671,3621700
2020-01-13,37.40678024291992,37.4405403588319,37.00165112478094,37.1366941641606,3270400
2020-01-14,36.9273681640625,37.04215562056692,36.81258328328917,37.0016419460834,1864800
2020-01-15,36.54249954223633,36.70455167450904,36.43446564596494,36.474979322965936,1636500
2020-01-16,36.66404724121094,36.79909028952991,36.57626887344382,36.77883473378823,1091400
2020-01-17,36.468231201171875,36.57626511357529,36.23865881534817,36.46148020852925,1500000
2020-01-21,35.887542724609375,36.20489082440724,35.880789157704335,36.13061704283824,2023900
2020-01-22,35.71873474121094,35.83351960563252,35.630956413533376,35.81326405914182,1709900
2020-01-23,35.54994201660156,35.65122235431455,35.18532661907925,35.414898990586096,1548500
2020-01-24,35.2866096496582,35.38789257083199,35.1853293042161,35.2731076641846,1766700
2020-01-27,34.307552337646484,34.726183418733264,34.233278541251885,34.557380272647926,2011200
2020-01-28,34.483097076416016,34.57087540965751,34.19275553823567,34.314293976345155,1914200
2020-01-29,34.03071212768555,34.48310328092285,34.02395856005825,34.4358386104572,1634800
2020-01-30,33.68634796142578,33.747117183589495,33.28797252184833,33.55130495931408,1824200
2020-01-31,32.80857849121094,33.173193892873186,32.75456024989882,33.03139729729464,2388900
2020-02-03,32.74781036376953,32.91661350997453,32.6397764532276,32.81533059195889,1964600
2020-02-04,33.02464294433594,33.416267426801674,32.99088283481712,33.38925830889412,2313900
2020-02-05,33.787628173828125,33.99019137304438,33.61207151230476,33.95643126913014,2393600
2020-02-06,33.87541198730469,34.31430116978734,33.855156435283824,33.902421107153465,2446700
2020-02-07,33.36225509643555,33.55806737232912,33.30823942679039,33.52430725683443,3139900
2020-02-10,32.99763107299805,33.07190485318054,32.80182142383543,32.99088008195011,1770500
2020-02-11,33.29473114013672,33.301482132187616,33.105669878203244,33.18669723720249,2789200
2020-02-12,33.63233184814453,33.7403657332169,33.3487412899977,33.51754439640646,1891300
2020-02-13,33.21370315551758,33.3352416159957,33.058404583958065,33.16643848485735,2459400
2020-02-14,33.22721862792969,33.375766256353046,33.011150755167826,33.375766256353046,1414900
2020-02-18,32.855838775634766,32.90310344260353,32.58575275661509,32.60601088226683,1975100
2020-02-19,32.97063446044922,33.01114557039671,32.78157316967763,32.909865219796174,1583700
2020-02-20,32.64652633666992,33.00439074596446,32.585757103071344,32.95712607269129,1444500
2020-02-21,32.41020202636719,32.47097125819588,32.16037410695208,32.3359282346064,1733800
2020-02-24,30.749181747436523,31.019265236071,30.73567718664506,30.8707202188281,2125300
2020-02-25,29.8173828125,30.560115505193988,29.641828702206737,30.49934627937494,3336200
2020-02-26,29.64858627319336,30.276534220766067,29.574312472295034,30.114482057375923,3072000
2020-02-27,28.865337371826172,29.716104076831797,28.86533737182617,29.290722012194756,3756400
2020-02-28,29.12866973876953,29.256961775013988,27.8997830724448,28.237389356066572,5065100
2020-03-02,29.992942810058594,30.033456493800717,28.93285922159071,29.216449856322207,3889700
2020-03-03,29.371742248535156,30.431825613285866,29.17593001536945,29.884902588980964,4042300
2020-03-04,30.26978302001953,30.344054244676197,29.72961086291541,29.95243226408062,3292400
2020-03-05,29.398754119873047,29.65533302627077,29.108412526452803,29.459523350489643,2737400
2020-03-06,28.5682430267334,28.88559116383806,28.28465242519809,28.69653247996878,3422800
2020-03-09,23.477142333984375,25.03688436212528,23.470388765596827,24.780302853763082,11580700
2020-03-10,24.996370315551758,25.165173462543006,23.801243725765932,25.0031213081095,6898400
2020-03-11,23.30158233642578,24.665511901059464,23.004489762481022,24.584487121934764,7588500
2020-03-12,19.655439376831055,21.60680339645646,19.45287482226977,21.58654655464058,8805600
2020-03-13,21.08013343811035,21.43799652082984,19.20304354335515,21.43799652082984,4990200
2020-03-16,17.758089065551758,18.797916982368925,17.555525821222393,17.974158157466295,5041200
2020-03-17,18.656124114990234,18.851936392871927,17.96740822169865,18.514330083033865,4181000
2020-03-18,16.745269775390625,17.028859081825633,14.942452317596421,16.698005105629065,6215000
2020-03-19,16.718265533447266,17.15040122159261,15.293566415777416,15.99578819687954,8288700
2020-03-20,17.163902282714844,18.68313045030731,17.163902282714844,17.474499423247114,9054400
2020-03-23,19.446121215820312,19.972787476332332,19.02073786961635,19.972787476332332,10013400
2020-03-24,22.261754989624023,22.606112200989923,21.147653432401253,21.660816329639164,5664900
2020-03-25,24.3886775970459,24.753293007354795,22.633125924474413,23.15303991864119,6755200
2020-03-26,24.395570755004883,24.912864467721395,23.547209381880833,23.60928473265049,4558300
2020-03-27,24.278318405151367,24.533515896150345,23.016120502498666,23.59548955712597,3443400
2020-03-30,25.368080139160156,25.864682892648318,24.6714591709318,25.133573575689816,3966400
2020-03-31,25.685359954833984,26.80960980156909,25.278422102804036,26.43716030414043,5090000
2020-04-01,25.850894927978516,27.064812506751164,25.70605329686919,26.45095499335451,4019800
2020-04-02,27.3958797454834,28.361493233921383,26.499235078308637,27.67176818599757,4921100
2020-04-03,24.60249137878418,25.47154641901819,24.299013302642617,25.333600882193014,3760100
