Date,Close,High,Low,Open,Volume
2020-01-02,37.31900024414063,37.32575123673423,37.02190763112134,37.23122188603407,1166500
2020-01-03,37.45403671264648,37.622839830946525,37.28523359434645,37.31899370286022,1519000
2020-01-06,38.1562614440918,38.42634750413076,37.92668906577815,38.30480903468638,3516900
2020-01-07,37.94019317626953,38.03472509917383,37.60934046116484,38.021220538758925,2463000
2020-01-08,37.71062088012695,37.87942402207153,37.54857130626981,37.77139011425626,2831400
2020-01-09,37.73088073730469,37.83891465006955,37.30549607891044,37.53506846550223,2293500
2020-01-10,37.4472885131836,37.56207598946142,37.31899905214984,37.514811315621,3621700
2020-01-13,37.406768798828125,37.44052890441166,37.001639804632845,37.13668280269794,3270400
2020-01-14,36.9273796081543,37.04216710023229,36.8125946918082,37.00165341319325,1864800
2020-01-15,36.54249572753906,36.70454784289504,36.43446184254541,36.47497551531716,1636500
2020-01-16,36.664039611816406,36.79908263203437,36.57626126231503,36.77882708050765,1091400
2020-01-17,36.46821975708008,36.57625363558138,36.23864744329845,36.46146876655599,1500000
2020-01-21,35.88755798339844,36.204906218127455,35.88080441362189,36.13063240497848,2023900
2020-01-22,35.71875,35.83353491345685,35.63097163482416,35.81327935831313,1709900
2020-01-23,35.54994201660156,35.65122235431455,35.18532661907925,35.414898990586096,1548500
2020-01-24,35.28660202026367,35.387884919538855,35.18532169671961,35.27310003770936,1766700
2020-01-27,34.307552337646484,34.726183418733264,34.233278541251885,34.557380272647926,2011200
2020-01-28,34.48310852050781,34.57088688288078,34.19276688597026,34.31430536441536,1914200
2020-01-29,34.03071594238281,34.48310714633123,34.023962373998465,34.435842470567415,1634800
2020-01-30,33.686363220214844,33.74713246990498,33.28798760018664,33.55132015693318,1824200
2020-01-31,32.8085823059082,33.17319774996477,32.75456405831531,33.031401137899344,2388900
2020-02-03,32.747806549072266,32.91660967561388,32.63977265111489,32.815326769396385,1964600
2020-02-04,33.02465057373047,33.41627514666979,32.99089045641235,33.389266022522555,2313900
