Date,Close,High,Low,Open,Volume,ASI_Daily_Return,SMA_7,SMA_21,Daily_Return,Close_Lag_1,Close_Lag_2,Close_Lag_3,Target_Next_Close
2020-01-31,32.8085823059082,33.17319774996477,32.75456405831531,33.031401137899344,2388900,-0.019367943472940685,34.30755124773298,36.167921702067055,-0.02605712473848265,33.68635177612305,34.03070831298828,34.48311233520508,32.747806549072266
2020-02-03,32.747806549072266,32.91660967561388,32.63977265111489,32.815326769396385,1964600,-0.0036382352978363564,33.90724563598633,35.95024599347796,-0.001852434715686968,32.8085823059082,33.68635177612305,34.03070831298828,33.02463912963867
2020-02-04,33.02463912963867,33.41626356686762,32.990879024019506,33.3892544520799,2313900,0.013041094803173392,33.58410808018276,35.739322299049014,0.008453469399593905,32.747806549072266,32.8085823059082,33.68635177612305,33.78763961791992
2020-02-05,33.78763961791992,33.990202885745674,33.61208289693436,33.95644277039666,2393600,0.016477841459706655,33.50983428955078,35.53129250662668,0.02310397655780827,33.02463912963867,32.747806549072266,32.8085823059082,33.87541580200195
2020-02-06,33.87541580200195,34.31430503390775,33.85516024770011,33.902424924892216,2446700,0.0,33.42302049909319,35.33773186093285,0.002597878545960164,33.78763961791992,33.02463912963867,32.747806549072266,33.36225891113281
2020-02-07,33.36225891113281,33.5580712094159,33.30824323531141,33.524311090061026,3139900,-0.016717322844349014,33.327527727399556,35.13066682361421,-0.015148356963896381,33.87541580200195,33.78763961791992,33.02463912963867,32.99763488769531
2020-02-10,32.99763488769531,33.07190867646424,32.80182521589608,32.99088389586693,1770500,0.0010305381083763887,33.229139600481304,34.905274345761256,-0.010929236668558606,33.36225891113281,33.87541580200195,33.78763961791992,33.29473876953125
2020-02-11,33.29473876953125,33.30148976312911,33.10567746427491,33.18670484184135,2789200,0.0015438174289066353,33.29859052385603,34.707533881777806,0.009003793236912472,32.99763488769531,33.36225891113281,33.87541580200195,33.6323356628418
2020-02-12,33.6323356628418,33.74036956016775,33.34874507252913,33.51754819808413,1891300,0.01490242087773086,33.4249518258231,34.52779897054037,0.010139646856742734,33.29473876953125,32.99763488769531,33.36225891113281,33.21370315551758
2020-02-13,33.21370315551758,33.3352416159957,33.058404583958065,33.16643848485735,2459400,-0.005569544735066989,33.45196097237723,34.350957598005024,-0.012447321872644745,33.6323356628418,33.29473876953125,32.99763488769531,33.22721481323242
